TYPE,penetration,glosa,departed_mean,departed_std,arrived_mean,arrived_std,teleports_mean,teleports_std,mean_tt_s_mean,mean_tt_s_std,mean_delay_s_mean,mean_delay_s_std,stops_per_veh_avg_mean,stops_per_veh_avg_std,peak_queue_total_m_mean,peak_queue_total_m_std,mean_tt_s_mean_pm_std,mean_delay_s_mean_pm_std,stops_per_veh_avg_mean_pm_std,peak_queue_total_m_mean_pm_std
ACC,0,OFF,3922,1.414,3484.2,8.701,0,0.0,239.526,6.435,109.416,6.634,2.65,0.207,3213.004,142.649,239.526 +/- 6.435,109.416 +/- 6.634,2.650 +/- 0.207,3213.004 +/- 142.649
ACC,0,ON_B1,3922,1.414,3484.2,8.701,0,0.0,239.526,6.435,109.416,6.634,2.65,0.207,3213.004,142.649,239.526 +/- 6.435,109.416 +/- 6.634,2.650 +/- 0.207,3213.004 +/- 142.649
ACC,50,OFF,3844.4,32.989,3245.4,38.004,0,0.0,321.584,11.005,189.32,11.062,5.568,0.513,6114.786,189.76,321.584 +/- 11.005,189.320 +/- 11.062,5.568 +/- 0.513,6114.786 +/- 189.760
ACC,50,ON_B1,3807.4,30.583,3226,28.24,0,0.0,316.258,12.339,183.736,12.345,5.398,0.349,5883.82,268.262,316.258 +/- 12.339,183.736 +/- 12.345,5.398 +/- 0.349,5883.820 +/- 268.262
ACC,100,OFF,3571.2,54.806,2997.4,26.063,0,0.0,413.84,4.932,281.138,6.997,6.161,0.277,6494.234,214.884,413.840 +/- 4.932,281.138 +/- 6.997,6.161 +/- 0.277,6494.234 +/- 214.884
ACC,100,ON_B1,3723.8,63.132,3146.4,50.108,0,0.0,352.152,8.662,220.864,8.245,3.988,0.312,6249.298,247.295,352.152 +/- 8.662,220.864 +/- 8.245,3.988 +/- 0.312,6249.298 +/- 247.295
CACC,0,OFF,3922,1.414,3484.2,8.701,0,0.0,239.526,6.435,109.416,6.634,2.65,0.207,3213.004,142.649,239.526 +/- 6.435,109.416 +/- 6.634,2.650 +/- 0.207,3213.004 +/- 142.649
CACC,0,ON_B1,3922,1.414,3484.2,8.701,0,0.0,239.526,6.435,109.416,6.634,2.65,0.207,3213.004,142.649,239.526 +/- 6.435,109.416 +/- 6.634,2.650 +/- 0.207,3213.004 +/- 142.649
CACC,50,OFF,3926.2,1.924,3503.6,22.255,0,0.0,249.642,10.433,119.472,10.7,3.966,0.448,3229.396,257.725,249.642 +/- 10.433,119.472 +/- 10.700,3.966 +/- 0.448,3229.396 +/- 257.725
CACC,50,ON_B1,3924.4,0.548,3511.2,14.025,0,0.0,246.708,7.497,116.612,7.945,3.913,0.42,3075.752,177.758,246.708 +/- 7.497,116.612 +/- 7.945,3.913 +/- 0.420,3075.752 +/- 177.758
CACC,100,OFF,3927.2,1.095,3409.6,25.136,0,0.0,283.308,23.805,153.388,23.827,4.679,0.7,3865.966,298.089,283.308 +/- 23.805,153.388 +/- 23.827,4.679 +/- 0.700,3865.966 +/- 298.089
CACC,100,ON_B1p,3927.4,1.14,3438,30.083,0,0.0,270.664,34.402,140.986,34.085,4.312,1.039,3575.272,286.089,270.664 +/- 34.402,140.986 +/- 34.085,4.312 +/- 1.039,3575.272 +/- 286.089
