TYPE,penetration,glosa,seed,departed,arrived,teleports,mean_tt_s,mean_delay_s,stops_per_veh_avg,peak_queue_total_m
ACC,0,OFF,1,3923,3488,0,239.27,108.92,2.62,3178.5
ACC,0,OFF,2,3921,3487,0,235.12,104.53,2.519,3077.19
ACC,0,OFF,3,3920,3469,0,250.69,120.93,3.013,3455.9
ACC,0,OFF,4,3923,3486,0,235.84,105.82,2.536,3184.69
ACC,0,OFF,5,3923,3491,0,236.71,106.88,2.561,3168.74
ACC,0,ON_B1,1,3923,3488,0,239.27,108.92,2.62,3178.5
ACC,0,ON_B1,2,3921,3487,0,235.12,104.53,2.519,3077.19
ACC,0,ON_B1,3,3920,3469,0,250.69,120.93,3.013,3455.9
ACC,0,ON_B1,4,3923,3486,0,235.84,105.82,2.536,3184.69
ACC,0,ON_B1,5,3923,3491,0,236.71,106.88,2.561,3168.74
ACC,50,OFF,1,3860,3253,0,324.91,192.7,5.878,6165.21
ACC,50,OFF,2,3839,3213,0,334.05,201.85,6.087,6072.81
ACC,50,OFF,3,3875,3289,0,305.85,173.7,4.91,6175.49
ACC,50,OFF,4,3858,3272,0,327.49,195.38,5.829,5821.7
ACC,50,OFF,5,3790,3200,0,315.62,182.97,5.137,6338.72
ACC,50,ON_B1,1,3761,3186,0,319.79,186.89,5.471,6248.61
ACC,50,ON_B1,2,3835,3260,0,308.47,175.79,5.139,5596.66
ACC,50,ON_B1,3,3826,3242,0,311.11,178.77,5.147,5677.62
ACC,50,ON_B1,4,3792,3213,0,336.21,203.85,5.975,6051.89
ACC,50,ON_B1,5,3823,3229,0,305.71,173.38,5.26,5844.32
ACC,100,OFF,1,3553,3012,0,410.96,277.01,6.042,6367.65
ACC,100,OFF,2,3518,2969,0,411.12,276.32,5.834,6298.26
ACC,100,OFF,3,3632,3018,0,421.81,291.78,6.591,6550.49
ACC,100,OFF,4,3627,3019,0,415.42,284.81,6.192,6841.45
ACC,100,OFF,5,3526,2969,0,409.89,275.77,6.146,6413.32
ACC,100,ON_B1,1,3652,3116,0,350.24,217.16,4.198,6232.27
ACC,100,ON_B1,2,3771,3164,0,361.68,232.02,3.898,6393.65
ACC,100,ON_B1,3,3659,3082,0,358.19,225.28,4.41,6079.29
ACC,100,ON_B1,4,3782,3214,0,351.49,219.61,3.64,5959.45
ACC,100,ON_B1,5,3755,3156,0,339.16,210.25,3.792,6581.83
CACC,0,OFF,1,3923,3488,0,239.27,108.92,2.62,3178.5
CACC,0,OFF,2,3921,3487,0,235.12,104.53,2.519,3077.19
CACC,0,OFF,3,3920,3469,0,250.69,120.93,3.013,3455.9
CACC,0,OFF,4,3923,3486,0,235.84,105.82,2.536,3184.69
CACC,0,OFF,5,3923,3491,0,236.71,106.88,2.561,3168.74
CACC,0,ON_B1,1,3923,3488,0,239.27,108.92,2.62,3178.5
CACC,0,ON_B1,2,3921,3487,0,235.12,104.53,2.519,3077.19
CACC,0,ON_B1,3,3920,3469,0,250.69,120.93,3.013,3455.9
CACC,0,ON_B1,4,3923,3486,0,235.84,105.82,2.536,3184.69
CACC,0,ON_B1,5,3923,3491,0,236.71,106.88,2.561,3168.74
CACC,50,OFF,1,3926,3465,0,264.16,134.67,4.438,3592.13
CACC,50,OFF,2,3923,3504,0,247.27,116.34,3.875,3273.44
CACC,50,OFF,3,3927,3518,0,254.56,124.5,4.344,3313.32
CACC,50,OFF,4,3927,3516,0,236.15,106.14,3.32,3032.7
CACC,50,OFF,5,3928,3515,0,246.07,115.71,3.851,2935.39
CACC,50,ON_B1,1,3924,3498,0,249.7,119.83,4.087,3245.14
CACC,50,ON_B1,2,3924,3530,0,237.08,106.34,3.465,2969.06
CACC,50,ON_B1,3,3924,3522,0,240.68,110.25,3.521,2828.26
CACC,50,ON_B1,4,3925,3501,0,251.22,121.57,4.026,3104.95
CACC,50,ON_B1,5,3925,3505,0,254.86,125.07,4.467,3231.35
CACC,100,OFF,1,3927,3397,0,260.94,130.73,4.342,3877.66
CACC,100,OFF,2,3927,3448,0,265.31,135.66,4.331,3413.24
CACC,100,OFF,3,3929,3405,0,305.48,175.52,5.133,4186.18
CACC,100,OFF,4,3927,3417,0,272.59,142.68,3.929,3784.08
CACC,100,OFF,5,3926,3381,0,312.22,182.35,5.658,4068.67
CACC,100,ON_B1p,1,3927,3451,0,248.49,119.52,3.922,3489.9
CACC,100,ON_B1p,2,3928,3454,0,251.32,121.19,3.5,3451.55
CACC,100,ON_B1p,3,3929,3385,0,331.36,201.12,6.095,4084.8
CACC,100,ON_B1p,4,3927,3443,0,260.85,131.13,3.742,3420.46
CACC,100,ON_B1p,5,3926,3457,0,261.3,131.97,4.303,3429.65
